date,jobs,state
2021-07-18,6784,South Australia
2021-07-18,4438,Australian Capital Territory
2021-07-18,2044,Tasmania
2021-07-18,1747,Northern Territory
2021-07-19,51377,New South Wales
2021-07-19,38036,Victoria
2021-07-19,27242,Queensland
2021-07-19,14919,Western Australia
2021-07-19,6832,South Australia
2021-07-19,4447,Australian Capital Territory
2021-07-19,2144,Tasmania
2021-07-19,1740,Northern Territory
2021-07-20,51336,New South Wales
2021-07-20,38000,Victoria
2021-07-20,27278,Queensland
2021-07-20,14706,Western Australia
2021-07-20,6729,South Australia
2021-07-20,4457,Australian Capital Territory
2021-07-20,2017,Tasmania
2021-07-20,1737,Northern Territory
2021-07-21,51269,New South Wales
2021-07-21,37987,Victoria
2021-07-21,27136,Queensland
2021-07-21,14727,Western Australia
2021-07-21,6780,South Australia
2021-07-21,4457,Australian Capital Territory
2021-07-21,2057,Tasmania
2021-07-21,1702,Northern Territory
2021-07-22,52569,New South Wales
2021-07-22,38742,Victoria
2021-07-22,27705,Queensland
2021-07-22,14990,Western Australia
2021-07-22,6901,South Australia
2021-07-22,4566,Australian Capital Territory
2021-07-22,2109,Tasmania
2021-07-22,1730,Northern Territory
2021-07-23,52957,New South Wales
2021-07-23,39074,Victoria
2021-07-23,27720,Queensland
2021-07-23,15201,Western Australia
2021-07-23,6878,South Australia
2021-07-23,4600,Australian Capital Territory
2021-07-23,2153,Tasmania
2021-07-23,1748,Northern Territory
2021-07-24,53353,New South Wales
2021-07-24,39637,Victoria
2021-07-24,28061,Queensland
2021-07-24,15158,Western Australia
2021-07-24,6942,South Australia
2021-07-24,4748,Australian Capital Territory
2021-07-24,2248,Tasmania
2021-07-24,1770,Northern Territory
2021-07-25,53347,New South Wales
2021-07-25,39402,Victoria
2021-07-25,27829,Queensland
2021-07-25,15433,Western Australia
2021-07-25,6902,South Australia
2021-07-25,4791,Australian Capital Territory
2021-07-25,2237,Tasmania
2021-07-25,1729,Northern Territory
2021-07-26,51315,New South Wales
2021-07-26,38235,Victoria
2021-07-26,26939,Queensland
2021-07-26,14952,Western Australia
2021-07-26,6802,South Australia
2021-07-26,4707,Australian Capital Territory
2021-07-26,2141,Tasmania
2021-07-26,1713,Northern Territory
2021-07-27,53629,New South Wales
2021-07-27,39466,Victoria
2021-07-27,27766,Queensland
2021-07-27,14766,Western Australia
2021-07-27,7042,South Australia
2021-07-27,4748,Australian Capital Territory
2021-07-27,2244,Tasmania
2021-07-27,1756,Northern Territory
