date,jobs
2021-07-01,9643
2021-07-02,9714
2021-07-03,10005
2021-07-04,9961
2021-07-05,9891
2021-07-06,12369
2021-07-07,12490
2021-07-08,12583
2021-07-09,12358
2021-07-10,12729
2021-07-11,12571
2021-07-12,12526
2021-07-13,12636
2021-07-14,12934
2021-07-15,12541
2021-07-16,12807
2021-07-17,13058
2021-07-18,13005
2021-07-19,12996
2021-07-20,13134
2021-07-21,13137
2021-07-22,13411
2021-07-23,13454
2021-07-24,13790
2021-07-25,13823
2021-07-26,13708
2021-07-27,13856
